date;prix
2020-09;1.22
2020-10;1.21
2020-11;1.22
2020-12;1.27
2021-01;1.31
2021-02;1.36
2021-03;1.4
2021-04;1.39
2021-05;1.4
2021-06;1.43
2021-07;1.45
2021-08;1.45
2021-09;1.46
2021-10;1.56
2021-11;1.57
2021-12;1.54
